"","res_id","wave","east","hate_violence_means","hate_pol_message","hate_prevent_settlement","hate_polcondemn","hate_justified","MateComp.cont","JobComp.cont","LifeSatis.cont","pop_15_44_muni_gendergap_2015","age","singdivsep","age_group","gender","state","citizenship","marital","religion","eduyrs","occupation","income","household_size","self_econ","distance_ref","settle_ref","lrscale","afd","muslim_ind","afd_ind","contact_ind","refugee_ind","list","treatment_list","outcome_list","ref_integrating","ref_citizenship","ref_reduce","ref_moredone","ref_cultgiveup","ref_economy","ref_crime","ref_terror","ref_loc_services","ref_loc_economy","ref_loc_crime","ref_loc_culture","ref_loc_islam","ref_loc_schools","ref_loc_housing","ref_loc_wayoflife","women_role"
"355","413687849",4,1,3,2,2,2,2,4,1,7,NA,53,0,"50-59","Male","Th<fc>ringen",1,"Married","No, I don't feel close to any religion",13,"Skilled worker","1,000 to below 1,500 <80>","2","6","Don't know","50 <96> 249",2,0,0.5,0.666666666666667,0,0.625,NA,NA,NA,4,1,3,3,4,4,1,1,3,4,2,3,1,3,3,3,1
"356","421293544",4,0,1,1,1,1,1,1,3,5,NA,57,1,"50-59","Female","Niedersachsen",1,"Single, without partner","Roman Catholic",13,"Retired","500 to below 1,000 <80>","1","2","Don't know","50 <96> 249",2,0,0,0,0.333333333333333,0.375,NA,NA,NA,2,1,2,3,3,1,2,3,2,2,2,1,2,3,2,2,1
"357","441067147",4,0,1,1,1,1,1,1,1,8,NA,41,0,"40-49","Female","Rheinland-Pfalz",1,"With partner, not living together","No, I don't feel close to any religion",19,"Employee in low / medium position","No answer","1","6","11-20 kilometers","1 <96> 49",4,0,0.375,0,0.333333333333333,0.375,NA,NA,NA,2,3,3,2,2,2,3,1,2,2,2,2,2,2,2,2,2
"358","487884642",4,1,1,2,2,2,2,2,3,7,NA,53,0,"50-59","Female","Th<fc>ringen",1,"With partner, not living together","Protestant",13,"Employee in low / medium position","1,500 to below 2,000 <80>","1","5","3-5 kilometers","1000 and more",4,0,0.75,0,0.166666666666667,0.75,NA,NA,NA,2,3,3,4,3,2,3,3,2,2,3,2,2,3,3,3,2
"359","433866743",4,0,4,4,3,1,3,1,2,5,NA,52,1,"50-59","Male","Nordrhein-Westfalen",1,"Divorced / separated","No, I don't feel close to any religion",15,"Retired","500 to below 1,000 <80>","1","0 ( BOTTOM )","Don't know","There are no refugees in my town",0,0,0.5,0.666666666666667,0,0.625,NA,NA,NA,4,4,3,2,2,4,3,2,3,3,3,3,3,3,2,2,3
"360","437589043",4,0,2,1,2,2,1,2,4,5,NA,71,0,"60 and older","Female","Rheinland-Pfalz",1,"Married","Protestant",12,"Retired","500 to below 1,000 <80>","2","8","Don't know","50 <96> 249",5,28,0.75,1,0.166666666666667,1,NA,NA,NA,3,3,4,4,4,4,3,3,4,3,4,3,2,3,3,3,4
"361","437757248",4,0,2,1,3,1,1,3,4,7,NA,34,0,"30-39","Female","Bayern",1,"Married","Roman Catholic",3,"Civil servant","3,500 to below 4,000 <80>","4","7","Less than 3 kilometer","1 <96> 49",5,0,0.5,1,0.833333333333333,0.75,NA,NA,NA,4,2,4,3,3,3,2,4,4,2,3,3,4,2,2,3,3
"362","443177848",4,1,3,2,2,2,2,2,4,6,NA,67,0,"60 and older","Female","Th<fc>ringen",1,"Married","Roman Catholic",25,"Employee in low / medium position","1,500 to below 2,000 <80>","2","5","21-50 kilometers","500 <96> 999",5,2,1,1,0.333333333333333,1,NA,NA,NA,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,3,3
"363","443207343",4,0,3,3,2,3,3,3,2,2,NA,24,1,"18-29","Male","Nordrhein-Westfalen",1,"Single, without partner","Protestant",NA,"Unskilled worker","2,000 to below 2,500 <80>","1","8","6-10 kilometers","50 <96> 249",5,46,0.375,0.666666666666667,0.5,0.75,NA,NA,NA,3,2,3,3,3,3,3,2,2,3,4,2,4,3,4,3,2
"364","477709148",4,1,1,1,1,3,1,2,2,9,NA,69,0,"60 and older","Male","Sachsen",1,"Married","Protestant",18,"Retired","4,000 to below 4,500 <80>","2","7","3-5 kilometers","1 <96> 49",5,0,0.75,0,0.333333333333333,0.375,NA,NA,NA,3,3,2,2,3,2,2,2,2,3,2,2,2,2,2,2,1
"365","477735541",4,0,3,2,1,3,3,2,2,8,NA,24,0,"18-29","Female","Baden-W<fc>rttemberg",1,"With partner, not living together","Protestant",16,"Employee in low / medium position","1,000 to below 1,500 <80>","2","5","Less than 3 kilometer","50 <96> 249",4,0,0.625,0.333333333333333,0.5,0.875,NA,NA,NA,3,4,3,3,4,2,4,4,2,2,3,2,2,4,4,4,3
"366","477789740",4,1,1,1,1,2,1,1,1,3,NA,29,0,"18-29","Female","Th<fc>ringen",1,"With partner, not living together","No, I don't feel close to any religion",22,"In schooling / vocational training, student","below 500 <80>","1","7","6-10 kilometers","250 <96> 499",5,0,0.125,0,0,0.125,NA,NA,NA,1,1,1,1,3,2,2,1,2,3,2,2,2,2,3,3,1
"367","447342448",4,0,2,2,2,1,2,2,3,2,NA,68,0,"60 and older","Male","Bayern",1,"Married","Protestant",3,"Retired","1,500 to below 2,000 <80>","2","6","Less than 3 kilometer","50 <96> 249",3,0,1,0.666666666666667,0.5,0.75,NA,NA,NA,3,2,4,4,3,2,4,4,4,3,4,3,4,4,3,4,3
"368","487019140",4,0,1,1,1,1,1,1,3,7,NA,49,1,"40-49","Male","Schleswig-Holstein",1,"Single, without partner","No, I don't feel close to any religion",14,"Skilled worker","1,500 to below 2,000 <80>","1","7","More than 50 kilometer","250 <96> 499",5,0,0.625,0.333333333333333,0.666666666666667,0.75,NA,NA,NA,3,2,4,4,3,3,3,2,4,3,2,2,3,4,3,2,1
"369","493894740",4,0,2,1,1,2,1,2,2,8,NA,46,1,"40-49","Female","Hamburg",1,"Single, without partner","No, I don't feel close to any religion",13,"Employee in low / medium position","1,500 to below 2,000 <80>","1","3","Less than 3 kilometer","1000 and more",5,0,0.75,0.666666666666667,0.333333333333333,0.875,NA,NA,NA,4,4,4,4,3,1,4,4,4,3,4,3,4,4,4,4,3
"370","483797749",4,0,1,1,1,4,1,1,2,3,NA,56,0,"50-59","Male","Bayern",1,"With partner, living together","No, I don't feel close to any religion",16,"Employee in low / medium position","2,000 to below 2,500 <80>","2","3","Less than 3 kilometer","1000 and more",8,100,1,1,0.833333333333333,0.875,NA,NA,NA,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2
"371","424748140",4,0,2,2,1,2,1,1,3,7,NA,51,0,"50-59","Male","Berlin",1,"With partner, living together","Protestant",14,"Retired","2,000 to below 2,500 <80>","2","4","Less than 3 kilometer","1000 and more",4,0,0.75,0.666666666666667,0.333333333333333,1,NA,NA,NA,4,3,4,3,3,4,3,3,4,4,3,4,4,4,4,3,1
"372","473600343",4,0,1,1,1,1,1,1,1,9,NA,36,0,"30-39","Female","Bayern",1,"Married","Protestant",17,"Employee in high position","3,500 to below 4,000 <80>","4","5","3-5 kilometers","1000 and more",2,0,0,0,0.333333333333333,0,NA,NA,NA,2,1,2,1,1,2,1,2,2,2,2,2,2,3,2,3,2
"373","441474545",4,1,2,1,1,2,1,3,2,7,NA,28,1,"18-29","Male","Sachsen-Anhalt",1,"Single, without partner","No, I don't feel close to any religion",18,"Self-employed / freelancer","1,500 to below 2,000 <80>","2","2","More than 50 kilometer","1 <96> 49",2,0,0.5,0,0,0.375,NA,NA,NA,2,1,3,2,2,3,4,2,2,2,2,1,3,3,1,1,1
"374","427851140",4,0,2,1,1,1,2,1,1,7,NA,24,1,"18-29","Female","Baden-W<fc>rttemberg",1,"Single, without partner","No answer",16,"In schooling / vocational training, student","No answer","3","7","21-50 kilometers","1 <96> 49",5,0,0.125,0,0.166666666666667,0,NA,NA,NA,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,1
"375","464284241",4,0,2,2,2,2,2,1,2,10,NA,36,1,"30-39","Female","Bayern",1,"Single, without partner","No, I don't feel close to any religion",10,"Employee in low / medium position","1,000 to below 1,500 <80>","1","7","11-20 kilometers","50 <96> 249",6,0,1,0.666666666666667,0.166666666666667,0.75,NA,NA,NA,3,3,4,4,2,2,4,3,2,2,3,2,4,2,3,3,2
"376","403534046",4,0,1,1,2,2,1,2,3,5,NA,68,0,"60 and older","Male","Baden-W<fc>rttemberg",1,"Married","Roman Catholic",18,"Retired","3,500 to below 4,000 <80>","2","6","Less than 3 kilometer","50 <96> 249",5,61,0.875,1,0,1,NA,NA,NA,3,3,4,3,3,3,3,3,3,3,3,2,4,4,4,3,2
"377","407071247",4,1,1,1,1,1,1,1,1,7,NA,32,0,"30-39","Female","Sachsen",1,"Married","Protestant",17,"Parental leave","2,000 to below 2,500 <80>","3","6","3-5 kilometers","50 <96> 249",4,0,0,0,0.5,0,NA,NA,NA,2,2,1,1,2,2,1,2,2,2,1,2,2,3,2,1,3
"378","411084048",4,0,3,2,2,2,3,1,2,7,NA,64,0,"60 and older","Male","Berlin",1,"Married","No, I don't feel close to any religion",12,"Retired","2,500 to below 3,000 <80>","2","4","Less than 3 kilometer","500 <96> 999",7,60,0.875,0.666666666666667,0.333333333333333,1,NA,NA,NA,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,1
"379","411700040",4,0,1,1,1,2,1,2,2,6,NA,31,1,"30-39","Female","Bayern",1,"Single, without partner","No, I don't feel close to any religion",13,"Employee in low / medium position","4,000 to below 4,500 <80>","3","7","6-10 kilometers","1 <96> 49",3,10,0.875,0,0.333333333333333,0.75,NA,NA,NA,3,2,3,3,3,3,3,2,1,3,2,3,1,1,1,1,1
"380","413487448",4,0,2,1,2,2,2,2,2,2,NA,50,1,"40-49","Female","Bayern",1,"Divorced / separated","No, I don't feel close to any religion",14,"Employee in low / medium position","1,000 to below 1,500 <80>","1","5","6-10 kilometers","There are no refugees in my town",5,9,0.875,1,0,0.875,NA,NA,NA,3,4,3,4,3,2,3,3,2,3,2,3,2,2,2,2,1
"381","451221544",4,0,1,1,1,1,1,1,1,8,NA,36,0,"30-39","Male","Hessen",1,"Married","Roman Catholic",13,"Skilled worker","3,000 to below 3,500 <80>","5","6","21-50 kilometers","1 <96> 49",4,0,0.125,0.333333333333333,0.5,0.25,NA,NA,NA,3,2,1,1,2,3,1,1,1,3,1,1,1,2,1,2,2
